time,DivisionNo.3_1
2023-01-01 14:00:00,0.0
2023-01-01 15:00:00,0.0
2023-01-01 16:00:00,0.0
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,0.4970293789468297
2023-01-02 01:00:00,0.6547493284963147
2023-01-02 02:00:00,0.7216274159461956
2023-01-02 03:00:00,0.749429575411427
2023-01-02 04:00:00,0.7405604603148284
2023-01-02 05:00:00,0.6797211155986327
2023-01-02 06:00:00,0.5479760981033016
2023-01-02 07:00:00,0.29090537258032495
2023-01-02 08:00:00,0.0
2023-01-02 09:00:00,0.0
2023-01-02 10:00:00,0.0
2023-01-02 11:00:00,0.0
2023-01-02 12:00:00,0.0
2023-01-02 13:00:00,0.0
2023-01-02 14:00:00,0.0
2023-01-02 15:00:00,0.0
2023-01-02 16:00:00,0.0
2023-01-02 17:00:00,0.0
2023-01-02 18:00:00,0.0
2023-01-02 19:00:00,0.0
2023-01-02 20:00:00,0.0
2023-01-02 21:00:00,0.0
2023-01-02 22:00:00,0.0
2023-01-02 23:00:00,0.0
2023-01-03 00:00:00,0.5095514238805191
2023-01-03 01:00:00,0.6586721169355719
2023-01-03 02:00:00,0.7321469177435069
2023-01-03 03:00:00,0.7637645541816959
2023-01-03 04:00:00,0.7500403717544205
2023-01-03 05:00:00,0.7003296456101901
2023-01-03 06:00:00,0.5735499395592735
2023-01-03 07:00:00,0.39618598490317347
2023-01-03 08:00:00,0.0
2023-01-03 09:00:00,0.0
2023-01-03 10:00:00,0.0
2023-01-03 11:00:00,0.0
2023-01-03 12:00:00,0.0
2023-01-03 13:00:00,0.0
2023-01-03 14:00:00,0.0
2023-01-03 15:00:00,0.0
2023-01-03 16:00:00,0.0
2023-01-03 17:00:00,0.0
2023-01-03 18:00:00,0.0
2023-01-03 19:00:00,0.0
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,0.0
2023-01-03 22:00:00,0.0
2023-01-03 23:00:00,0.0
2023-01-04 00:00:00,0.49561886617570944
2023-01-04 01:00:00,0.587827047860055
2023-01-04 02:00:00,0.6131402715141683
2023-01-04 03:00:00,0.6885893564021247
2023-01-04 04:00:00,0.6158652107510513
2023-01-04 05:00:00,0.596484552118609
2023-01-04 06:00:00,0.45218131481102347
2023-01-04 07:00:00,0.27055241664706514
2023-01-04 08:00:00,0.0
2023-01-04 09:00:00,0.0
2023-01-04 10:00:00,0.0
2023-01-04 11:00:00,0.0
2023-01-04 12:00:00,0.0
2023-01-04 13:00:00,0.0
2023-01-04 14:00:00,0.0
2023-01-04 15:00:00,0.0
2023-01-04 16:00:00,0.0
2023-01-04 17:00:00,0.0
2023-01-04 18:00:00,0.0
2023-01-04 19:00:00,0.0
2023-01-04 20:00:00,0.0
2023-01-04 21:00:00,0.0
2023-01-04 22:00:00,0.0
2023-01-04 23:00:00,0.0
2023-01-05 00:00:00,0.49812060010130316
2023-01-05 01:00:00,0.6774590704076536
2023-01-05 02:00:00,0.7437211365701387
2023-01-05 03:00:00,0.76762713979757
2023-01-05 04:00:00,0.7589245352893861
2023-01-05 05:00:00,0.7094714079167136
2023-01-05 06:00:00,0.5925401553201606
2023-01-05 07:00:00,0.47566106631848054
2023-01-05 08:00:00,0.0
2023-01-05 09:00:00,0.0
2023-01-05 10:00:00,0.0
2023-01-05 11:00:00,0.0
2023-01-05 12:00:00,0.0
2023-01-05 13:00:00,0.0
2023-01-05 14:00:00,0.0
2023-01-05 15:00:00,0.0
2023-01-05 16:00:00,0.0
2023-01-05 17:00:00,0.0
2023-01-05 18:00:00,0.0
2023-01-05 19:00:00,0.0
2023-01-05 20:00:00,0.0
2023-01-05 21:00:00,0.0
2023-01-05 22:00:00,0.0
2023-01-05 23:00:00,0.0
2023-01-06 00:00:00,0.11932441747166954
2023-01-06 01:00:00,0.153302112978135
2023-01-06 02:00:00,0.21437416670394605
2023-01-06 03:00:00,0.3452390347239787
2023-01-06 04:00:00,0.3528209086377681
2023-01-06 05:00:00,0.3410728766617978
2023-01-06 06:00:00,0.14311499595491292
2023-01-06 07:00:00,0.030984339196527756
2023-01-06 08:00:00,0.0
2023-01-06 09:00:00,0.0
2023-01-06 10:00:00,0.0
2023-01-06 11:00:00,0.0
2023-01-06 12:00:00,0.0
2023-01-06 13:00:00,0.0
2023-01-06 14:00:00,0.0
2023-01-06 15:00:00,0.0
2023-01-06 16:00:00,0.0
2023-01-06 17:00:00,0.0
2023-01-06 18:00:00,0.0
2023-01-06 19:00:00,0.0
2023-01-06 20:00:00,0.0
2023-01-06 21:00:00,0.0
2023-01-06 22:00:00,0.0
2023-01-06 23:00:00,0.0
2023-01-07 00:00:00,0.19318890118345508
2023-01-07 01:00:00,0.37066840100867043
2023-01-07 02:00:00,0.5899272937968786
2023-01-07 03:00:00,0.5836975509920902
2023-01-07 04:00:00,0.5906638653508058
2023-01-07 05:00:00,0.5034582621310274
2023-01-07 06:00:00,0.3344581408584401
2023-01-07 07:00:00,0.2029503961257203
2023-01-07 08:00:00,0.0
2023-01-07 09:00:00,0.0
2023-01-07 10:00:00,0.0
2023-01-07 11:00:00,0.0
2023-01-07 12:00:00,0.0
2023-01-07 13:00:00,0.0
2023-01-07 14:00:00,0.0
2023-01-07 15:00:00,0.0
2023-01-07 16:00:00,0.0
2023-01-07 17:00:00,0.0
2023-01-07 18:00:00,0.0
2023-01-07 19:00:00,0.0
2023-01-07 20:00:00,0.0
2023-01-07 21:00:00,0.0
2023-01-07 22:00:00,0.0
2023-01-07 23:00:00,0.0
2023-01-08 00:00:00,0.17710597725274416
2023-01-08 01:00:00,0.4119140772717687
2023-01-08 02:00:00,0.5452273858836804
2023-01-08 03:00:00,0.5631967610794125
2023-01-08 04:00:00,0.6342669839588061
2023-01-08 05:00:00,0.6200705122043668
2023-01-08 06:00:00,0.42340562908801815
2023-01-08 07:00:00,0.12862696392425685
2023-01-08 08:00:00,0.0
2023-01-08 09:00:00,0.0
2023-01-08 10:00:00,0.0
2023-01-08 11:00:00,0.0
2023-01-08 12:00:00,0.0
2023-01-08 13:00:00,0.0
2023-01-08 14:00:00,0.0
2023-01-08 15:00:00,0.0
2023-01-08 16:00:00,0.0
